DEPARTAMENTO,MUNICIPIO,COMPAÑÍA OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
ANTIOQUIA,PUERTO NARE,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,409,405,407,394,411,410,418,410,436,425,218,223
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,NARE,29,31,31,30,30,29,26,18,23,27,37,33
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,UNDERRIVER,109,117,140,122,127,165,136,157,123,110,126,156
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,0,0,0,0,0,0,0,0,0,0,205,196
ANTIOQUIA,YONDO,ECOPETROL,CASABE,CASABE,1436,1171,1017,1023,992,1137,1132,810,734,778,754,852
ANTIOQUIA,YONDO,ECOPETROL,CASABE,CASABE SUR,1218,1433,1210,1000,943,1312,842,842,709,927,1257,739
ANTIOQUIA,YONDO,ECOPETROL,CASABE,PEÑAS BLANCAS,14,14,8,11,30,12,51,24,22,16,23,11
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,COSECHA,CANAGUEY,393,219,323,326,418,157,353,322,284,142,381,602
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,COSECHA,MORROCOY,172,125,115,82,96,39,162,180,66,24,74,58
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,COSECHA,REX,0,0,0,0,0,0,17,38,11,25,32,50
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,COSECHA,TERECAY,220,109,219,166,184,74,121,338,441,119,114,113
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,RONDON,CALAMARO,224,159,210,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,RONDON,CAÑO RONDON,49,22,70,625,891,543,877,2065,1020,1490,0,1682
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,RONDON,CAÑO RONDON ESTE,211,110,162,0,0,0,0,0,0,0,2310,0
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA INC.,RONDON,CARICARE,2485,1687,2499,3001,2571,1300,1442,1462,1701,380,1446,1616
ARAUCA,SARAVENA,ECOPETROL,ARAUCA,ARAUCA,108,108,108,107,107,107,106,106,105,105,103,85
BOLIVAR,CANTAGALLO,ECOPETROL,YARIGUI-CANTAGALLO,YARIGUI-CANTAGALLO,4254,4289,5247,6027,6191,6297,6150,5859,4992,4525,4822,4935
BOLIVAR,CICUCO,ECOPETROL,CICUCO,CICUCO,2025,2023,2029,1667,1452,1485,1498,1541,1467,1479,1374,1356
BOLIVAR,TALAIGUA NUEVO,ECOPETROL,CICUCO,BOQUETE,0,0,0,0,0,0,268,434,303,204,134,206
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,BOLIVAR,0,0,0,4,0,0,0,0,0,0,0,0
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES,0,0,0,0,0,0,0,0,0,5374,5219,4112
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES 1-1,1809,1928,1938,2020,2068,2065,0,2094,1572,0,0,0
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES -1-D,5806,5709,5668,5979,5991,5857,0,5652,5475,0,0,0
BOYACA,PUERTO BOYACA,ECOPETROL ALTO MAGDALENA,ECOP-OP-DIRECTA,CAIPAL,142,140,134,134,132,131,131,151,161,155,150,153
BOYACA,PUERTO BOYACA,ECOPETROL ALTO MAGDALENA,PALAGUA,PALAGUA,2322,2436,2519,2508,2546,2911,3085,3182,3415,3616,3718,3809
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,GUAGUAQUI TERAN,VELASQUEZ,558,559,502,488,431,408,434,469,469,485,431,645
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,ABARCO,155,156,176,174,161,156,172,174,171,184,201,193
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,GIRASOL,424,420,418,419,421,411,404,415,431,420,412,427
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,JAZMIN,508,509,505,506,498,476,483,491,504,489,478,465
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,MORICHE,386,385,400,390,429,417,407,410,420,425,429,422
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,UNDERRIVER,181,141,186,241,235,205,197,168,174,210,186,212
BOYACA,SAN LUIS DE GACENO,NIKOIL ENERGY CORP. SUC. COLOMBIA,CONDOR,MEDINA,0,0,0,0,0,0,0,1735,2640,1606,1397,30
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,BOLIVAR,4,4,4,0,4,3,0,4,3,3,3,4
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,YEKOTA,0,0,0,0,129,33,0,0,0,0,0,0
CASANARE,AGUAZUL,CEPSA COLOMBIA S.A. - CEPCOLSA,E&P LLANOS 22,RAMIRIQUI,0,0,0,334,1312,729,1373,1298,1309,1360,1372,1481
