Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,ECOPETROL,PUERTO NARE,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,0.2,0.2,0.23,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.26
ANTIOQUIA,ECOPETROL,PUERTO TRIUNFO,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,0.2,0.2,0.16,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.16,0.17
ANTIOQUIA,ECOPETROL,YONDO,CASABE,CASABE,0.84,0.94,0.71,0.62,0.56,0.53,0.59,0.6,0.62,0.94,0.72,0.55
ANTIOQUIA,ECOPETROL,YONDO,CASABE,CASABE SUR,0.34,0.6,0.88,0.88,1.23,0.98,1.04,0.72,0.91,1.52,1.61,1.23
ANTIOQUIA,ECOPETROL,YONDO,CASABE,PEÑAS BLANCAS,0.02,0.05,0.05,0.08,0.04,0.03,0.06,0.09,0.06,0.12,0.2,0.18
ANTIOQUIA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO NARE,NARE ASOCIACION,NARE,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0
ANTIOQUIA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO NARE,NARE ASOCIACION,UNDERRIVER,0.18,0.16,0.13,0,0,0.18,0.14,0.13,0.12,0.13,0.12,0
ARAUCA,ECOPETROL,SARAVENA,ARAUCA,ARAUCA,0.1,0.1,0.1,0.08,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.03
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,COSECHA,CANAGUEY,0.47,0.47,0.23,0.01,0.04,0.28,0.25,0.28,0.31,0.26,0.27,0.2
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,COSECHA,MORROCOY,0.07,0.08,0.07,0,0.01,0.06,0.05,0.05,0.04,0.04,0.05,0.04
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,COSECHA,REX,0.04,0.05,0.03,0,0.01,0.04,0.03,0.03,0.03,0.03,0.03,0.03
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,COSECHA,TERECAY,0.12,0.11,0.1,0,0.05,0.24,0.13,0.18,0.23,0.2,0.16,0.14
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,RONDON,CAÑO RONDON,1.65,1.46,1.16,0.01,0.17,1.28,0.85,1.26,1.08,1.07,1.13,1.1
ARAUCA,OCCIDENTAL DE COLOMBIA INC.,ARAUQUITA,RONDON,CARICARE,1.71,1.79,1.22,0.08,0.26,1.43,1.12,1.5,1.86,1.73,1.65,1.56
