Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
TOLIMA,ESPINAL,PACIFIC STRATUS ENERGY COLOMBIA CORP,ABANICO,ABANICO,0.277,0.253,0.248,0.253,0,0,0,0,0,0,0,0
TOLIMA,ESPINAL,PACIFIC STRATUS ENERGY COLOMBIA CORP,ABANICO,ABANICO,0,0,0,0,0.276,0.245,0.226,0.182,0.149,0.241,0.199,0.179
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,ABARCO,NARE,0.182,0.18,0.198,0.198,0.179,0.169,0.157,0.21,0.186,0.163,0.156,0.158
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,ABEJAS,ESTERO,0.003,0,0,0,0,0,0,0,0,0,0,0
PUTUMAYO,SAN MIGUEL,ECOPETROL S.A.,ACAE SAN MIGUEL,ORITO,0.311,0.303,0.291,0.346,0.33,0.359,0.212,0.22,0.282,0.324,0.227,0.267
CESAR,SAN MARTÍN,PETROLEOS DEL NORTE S.A,ACORDIONERO,MIDAS,0.804,0.785,0.797,0.774,0.74,0.848,0.682,0.611,0.657,0.643,0.762,0.777
CASANARE,SAN LUIS DE PALENQUE,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,ADALIA,LLA 30,0.003,0.036,0.066,0.059,0.043,0.011,0.014,0.014,0.013,0.012,0.012,0.011
SANTANDER,SIMACOTA,ECOPETROL S.A.,AGUAS BLANCAS,DE MARES,0,0,0,0,0,0,0,0,0,0,0,0.091
META,ACACIAS,ECOPETROL S.A.,AKACIAS,CPO 9,0.169,0.199,0,0,0,0,0,0,0,0.015,0.062,0.083
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSÍA,AMBROSÍA,0.037,0.038,0.036,0.037,0.035,0.032,0.031,0.032,0.033,0.016,0.017,0.016
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY COLOMBIA CORP,APAMATE,LA CRECIENTE,0.012,0.016,0,0,0,0,0,0,0.016,0.022,0.005,0
